source (en_US),translation (nl)
Key Capabilities,Belangrijkste Functies
"<strong>Engine-On Detection</strong>: Accurate ignition status tracking, enabling visibility to any interaction when the vehicle is running.","<strong>Detectie Motor Aan</strong>: Nauwkeurige registratie van de ontstekingsstatus, waardoor zichtbaar is wat er gebeurt wanneer het voertuig in bedrijf is."
"<strong>Speed &amp; RPM Monitoring</strong>: Real-time checks against thresholds to trigger alerts for speeding.","<strong>Snelheids- en Toerentalcontrole</strong>: Realtime controles tegen drempelwaarden om waarschuwingen voor snelheidsovertredingen te activeren."
"<strong>Diagnostic Trouble Codes (DTCs)</strong>: Identification of vehicle health issues for timely maintenance.","<strong>Diagnostische Foutcodes (DTC's)</strong>: Identificatie van problemen met de voertuiggezondheid voor tijdig onderhoud."
"<strong>Fuel Level Monitoring</strong>: Tracking of fuel consumption and levels.","<strong>Brandstofniveau-controle</strong>: Registratie van brandstofverbruik en -niveaus."
"<strong>Seatbelt Usage Detection</strong>: Monitoring whether the driver has fastened their seatbelt.","<strong>Detectie van Gordelgebruik</strong>: Controle of de bestuurder de veiligheidsgordel heeft vastgemaakt."
"<strong>Odometer Readings</strong>: Accurate tracking of distance traveled.","<strong>Kilometertellerstand</strong>: Nauwkeurige registratie van de afgelegde afstand."
"<strong>Incident Reconstruction</strong>: Provide data on vehicle speed, braking, and engine status leading up to an accident.","<strong>Incidentreconstructie</strong>: Gegevens verstrekken over voertuigsnelheid, remmen en motorstatus voorafgaand aan een ongeval."
"<strong>Driver Assistance</strong>: Trigger alerts for risky behaviors like speeding based on ECU data.","<strong>Bestuurdersassistentie</strong>: Waarschuwingen activeren voor risicovol gedrag zoals snelheidsovertredingen op basis van ECU-gegevens."
"<strong>Compliance</strong>: Ensure adherence to regulations regarding vehicle operation and maintenance.","<strong>Naleving</strong>: Zorgen voor naleving van regelgeving met betrekking tot voertuiggebruik en -onderhoud."
"<strong>USB-C to HDMI Adaptor</strong>: Used to connect the monitor to the Driverâ€¢i  DMS port.","<strong>USB-C naar HDMI-adapter</strong>: Gebruikt om de monitor aan te sluiten op de Driverâ€¢i DMS-poort."
"<strong>Mounting Screws</strong>: To secure the monitor bracket.","<strong>Borgschroeven</strong>: Om de monitorbeugel vast te zetten."
"<strong>T8 Driver</strong>: Tool required for installation.","<strong>T8-schroevendraaier</strong>: Gereedschap benodigd voor de installatie."
"<strong>Cable Management Clips</strong>: To organize and secure cables.","<strong>Kabelklemmen</strong>: Om kabels te ordenen en vast te zetten."
"<strong>Alcohol Wipes</strong>: To clean the mounting surface.","<strong>Alcoholdoekjes</strong>: Om het montageoppervlak schoon te maken."
"<strong>Operational Voltage</strong>: 9V - 36V","<strong>Bedrijfsspanning</strong>: 9V - 36V"
"<strong>Chipset</strong>: Ambarella CV22","<strong>Chipset</strong>: Ambarella CV22"
"<strong>Imager</strong>: OmniVision OS02C10","<strong>Beeldsensor</strong>: OmniVision OS02C10"
"<strong>Lens Field of View (FOV)</strong>:","<strong>Gezichtsveld van de lens (FOV)</strong>:"
"<strong>Internal Storage</strong>: 64 GB / 128 GB eMMC","<strong>Interne Opslag</strong>: 64 GB / 128 GB eMMC"
"<strong>External Storage (optional)</strong>: Up to 512 GB","<strong>Externe Opslag (optioneel)</strong>: Tot 512 GB"
"<strong>Connectivity</strong>: Wi-Fi 802.11ac, LTE Cat 4","<strong>Connectiviteit</strong>: Wi-Fi 802.11ac, LTE Cat 4"
