source (en_US),translation (nl)
"Hi in this video, let us learn
 about Privacy Mode in detail.","1. ""Hallo, in deze video gaan we meer leren over Privacymodus in detail."""
What is Privacy Mode?,"2. ""Wat is Privacymodus?"""
"A feature offered by the Driverâ€¢i device
 to respect the privacy
 of drivers and passengers.","3. ""Een functie aangeboden door het Driver•i-Apparaat om de Privacy van bestuurders en passagiers te respecteren."""
"When the vehicle is not moving,
 the decision about inward camera
 recording is provided to them.","4. ""Wanneer het voertuig niet beweegt, wordt de beslissing over opname met de binnenwaartse camera aan hen overgelaten."""
"In most cases,
 this feature is applicable only
 for the Driverâ€¢i devices where
 inward camera recording is enabled.","5. ""In de meeste gevallen is deze functie alleen van toepassing op de Driver•i-Apparaten waarbij opname met de binnenwaartse camera is ingeschakeld."""
"When this feature is activated,
 the inward video files will not be stored
 in the device and the video
 file cannot be retrieved.","6. ""Wanneer deze functie is geactiveerd, worden de binnenwaartse video-bestanden niet opgeslagen in het apparaat en kan het video-bestand niet worden opgehaald."""
Enabling or Disabling Privacy Mode,"7. ""In- of uitschakelen van Privacymodus."""
Privacy Mode is enabled when the vehicle speed reaches,"8. ""Privacymodus wordt ingeschakeld wanneer de Voertuigsnelheid de waarde bereikt van"""
"zero miles per hour for three minutes
 or when the vehicle ignition is off.","9. ""nul Miles per hour gedurende drie minuten of wanneer de Ontstekingsstatus van het voertuig uit is."""
"When the Privacy Mode is enabled,
 a black screen appears in place","10. ""Wanneer de Privacymodus is ingeschakeld, verschijnt er een zwart scherm in plaats van"""
"of Inward Camera View in the alert videos
 in the Driverâ€¢i portal
 or in the Driverâ€¢i app.","11. ""de binnenwaartse cameraweergave in de Waarschuwingsvideo's in het Driver•i-Portaal of in de Driver•i App."""
"Privacy Mode is disabled as soon as
 the vehicle ignition is on and the vehicle
 speed reaches 5 mph or more.","12. ""Privacymodus wordt uitgeschakeld zodra de ontsteking van het voertuig aan staat en de Voertuigsnelheid 5 mph of meer bereikt."""
"Let us see how Privacy Mode
 works in different scenarios.","13. ""Laten we kijken hoe Privacymodus werkt in verschillende scenario's."""
"Scenario 1 Driver stops the vehicle
 and turns the ignition to the off
 or Accessory auxiliary position.","14. ""Scenario 1: bestuurder stopt het voertuig en zet de ontsteking in de uit-stand of de Accessory Auxillary-stand."""
"Privacy Mode will be enabled a few seconds
 after ignition is turned to the off or
 except Accessory auxiliary position.","15. ""Privacymodus wordt ingeschakeld enkele seconden nadat de ontsteking naar de uit-stand of de Accessory Auxillary-stand is gedraaid."""
"Scenario 2 Driver stops the vehicle for an
 extended time and leaves the ignition on.","16. ""Scenario 2: bestuurder stopt het voertuig voor langere tijd en laat de ontsteking aan staan."""
"Privacy Mode will be
 enabled after three minutes.","17. ""Privacymodus wordt na drie minuten ingeschakeld."""
"Scenario 3
 Driver stops the vehicle and turns
 the ignition off, then turns the ignition
 back on,","18. ""Scenario 3: bestuurder stopt het voertuig en zet de ontsteking uit, en zet de ontsteking vervolgens weer aan,"""
for example to run accessory or heater.,"19. ""bijvoorbeeld om een Accessory of de verwarming te gebruiken."""
"Privacy Mode will already be enabled
 and will remain enabled since
 the vehicle hasn't moved.",
"The video is blacked out for the entire
 duration since the ignition was off.",
"Scenario 4 Driver turns
 the ignition on and resumes driving.",
"Privacy Mode will be disabled a few
 seconds after the vehicle ignition is
 turned on and the vehicle
 speed exceeds 5 mph.",
"How to know when Privacy Mode is activated
 on the Portal Navigate to the
 Event Access page on the Portal.",
"Click on any completed video request
 for the videos where
 Privacy Mode is activated.",
Inward Facing Camera View is disabled.,
"Hovering over the Inward facing camera
 view displays the message
 Privacy Mode Activated.",
"This indicates that Privacy Mode
 was activated during that event.",
"How to configure Privacy Mode
 on the Portal Privacy Mode can be
 enabled or disabled from the portal.",
"To configure the Privacy Mode
 in the Portal, navigate
 to Provisioning and Configurations.",
"In the side menu, click Configurations.",
Click Privacy Mode.,
"Under Camera Settings,
 you can see the current status
 of Privacy Mode as enabled or disabled.",
Click Edit.,
"Privacy Mode is enabled as
 the default configuration.",
"Select Disabled to disable
 the Privacy Mode.",
"If the Privacy Mode is disabled,
 select Enabled or select",
"the Use System Default Configurations
 button to enable the Privacy Mode.",
"Review the configuration and click
 Save to save the new configuration.",
"Hi! In this video, let us look at the Dashboard screen of the Driverâ€¢i App in detail.",
"The Driverâ€¢i App allows you to
 see driving behaviors identified by the",
"Driverâ€¢i device and the
 corresponding driver score.",
"The app also opens communication between
 you and your manager through the sharing
 of video, comments and feedback.",
"You can download the app
 from Google Play Store or
 the Apple App Store, depending
 on the type of phone you are using.",
"The cameras on the Driverâ€¢i device record
 all the driving events as they happen.",
"These events include sign violations,
 speeding violations,",
"seatbelt non compliance,
 distracted driving,",
"as well as proactive driving events such
 as creating space for vehicles
 merging or parked on the shoulder.",
"Events are categorized into moderate risk,
 severe risk,",
or DriverStars Proactive Safe Driving.,
"The device analyzes these driving events
 to generate alerts that are played either",
"as an audio message inside the vehicle or
 as a video that is uploaded to the portal.",
"Your manager can view the alerts that you
 have generated and add them
 to your coaching session if needed.",
"Logging into the App
 Reach out to your safety manager to get
 your credentials to log into the app.",
"Open the Driverâ€¢i app,
 enter your username and tap login.",
Enter the password and Tap Login.,
"After the password is authenticated,
 you will be logged in to the Driverâ€¢i app.",
"Forgot or Reset Password
 Enter the username on the login
 screen and tap Forgot Password.",
"Tap Send Password reset Email
 A Reset Password link is sent
 to your registered email address.",
"Click or tap the Reset Password link
 in the email on the Reset Password screen.",
Enter a new password and confirm the same.,
Tap Reset Password.,
The password is reset.,
"You will be directed to the login
 screen to log in with the new password.",
"Change Password
 log into the Driverâ€¢i app and tap
 the menu option on the top left corner.",
"Tap Change Password,
 enter values in the old password,",
"New Password and Confirm Password
 fields and tap Change Password.",
The password is changed.,
"You must now use the new password
 to log into the Driverâ€¢i app.",
"Benefits of Driverâ€¢i app
 the Driverâ€¢i app will benefit you in the
 following visibility in your performance.",
The mystery of the camera is removed.,
"You can view your Green Zone score,
 most impactful alerts,
 your rank, and DriverStars.",
"Weekly review sessions
 gain awareness of impactful driving
 behaviors affecting your score,
 know where you stand,",
"view your ranking in the fleet,
 and understand how you can improve your
 rank by avoiding high impact events.",
"Features of Driverâ€¢i app
 Let's see a quick overview of
 various sections of the app.",
"App Tour provides a guided walkthrough
 of the app and and helps you
 understand how the app works.",
"FAQs provides answers to frequently
 asked questions about the app features, GreenZone score alerts, etc.",
"Dashboard screen displays your GreenZone
 score, DriverStars and alerts that have
 impacted your Green Zone score.",
"Events Screen displays detailed
 information about the number of alerts
 generated and DriverStar
 is awarded weekly.",
"Review screen displays the three alerts
 that have been assigned for coaching based
 on driving behavior in the past week.",
"GreenZone Screen displays your GreenZone
 score and the list of high impact
 events that affected your score.",
"For more details, tap the floating Help
 icon to view the help content relevant
 to the tab that is open on your screen.",
"Hi! In this video, let us look at the
 Dashboard screen of the
 Driverâ€¢i App in detail.",
"The Dashboard screen provides a summary
 of your driving performance",
"based on the alerts and DriverStars
 generated by you.",
"This screen helps you analyze your
 strengths and areas of improvement.",
"Tap the daily, weekly,
 and monthly buttons to view",
"the corresponding information
 on the Dashboard screen.",
"You can also select the required date,
 week or month using
 the left and right arrows.",
"The following information is
 displayed on the Dashboard screen.",
"Your Green Zone score is based
 on the alerts, driver Stars and neutral
 events that you generated while driving.",
"Generating alerts will
 impact your Green Zone score.",
"Tap the arrow in this section to navigate
 to the Green Zone screen and view details",
"about the events that impacted
 your Green Zone score.",
"Your rank is determined based on the
 Green Zone score of your fellow drivers.",
"This is to encourage a healthy
 competition in the fleet.",
"You can view your rank among
 all drivers in your fleet.",
"Three drivers with topmost Green Zone
 score are displayed
 on the Dashboard screen.",
"This is a fleet based configuration,
 hence the ranking card is displayed only
 if the feature is enabled for the fleet.",
"DriverStars are awarded
 to recognize safe driving behavior.",
"DriverStars have a positive
 impact on your GreenZone score.",
"Total Alerts Generated displays the total
 number of alerts generated
 by you in the selected duration.",
"Average following Distance denotes
 the average distance that you maintained",
"between your vehicle and the vehicle
 ahead that is also in the same lane.",
"Total Minutes Analyzed displays the amount
 of time in minutes you drove the vehicle,",
"including the time when vehicle
 was switched on but not moving.",
"You will receive notifications about
 weekly review sessions, alerts and
 comments shared by your safety manager.",
"You can view these notifications
 by tapping the bell icon
 on the top right corner.",
"When you tap the vertical ellipsis
 on the top right corner",
"of the notifications screen,
 you can see the following Mark all as Read
 show unread only for more details.",
"Tap the floating Help icon
 on the screen to view the help content.",
"Hi! In this video,
 let us look at the weekly review
 screen of the Driverâ€¢i app in detail.",
